individual,location,fitness
0,0,1.006937
1,0,0.977002
2,0,1.006937
3,0,1.006937
4,0,1.006937
5,0,1.006937
6,0,0.977002
7,0,1.006937
8,0,1.006937
9,0,1.006937
10,0,1.006937
11,0,1.006937
12,0,1.006937
13,0,1.006937
14,1,1.006937
15,1,1.006937
16,0,1.006937
17,0,1.006937
18,0,1.006937
19,0,1.006937
20,0,1.006937
21,0,1.006937
22,2,1.006937
23,0,1.006937
24,0,1.006937
25,0,1.006937
26,0,1.006937
27,0,1.006937
28,1,1.006937
29,0,1.006937
30,0,0.977002
31,0,1.006937
32,0,1.006937
33,0,0.977002
34,0,1.006937
35,0,1.006937
36,0,1.006937
37,0,1.006937
38,0,1.006937
39,0,1.006937
40,0,1.006937
41,0,1.006937
42,0,1.006937
43,0,1.006937
44,0,1.011924
45,0,1.006937
46,0,1.006937
47,0,1.011924
48,0,1.006937
49,0,1.006937
50,0,1.006937
51,0,0.981841
52,0,1.006937
53,0,1.006937
54,0,1.006937
55,0,1.006937
56,0,1.006937
57,0,1.006937
58,0,1.006937
59,0,1.006937
60,0,1.006937
61,0,0.977002
62,0,1.006937
63,0,1.006937
64,0,1.006937
65,0,1.006937
66,0,0.977002
67,0,1.008541
68,0,1.006937
69,0,1.006937
70,0,1.006937
71,1,1.006937
72,0,1.006937
73,0,1.006937
74,0,1.006937
75,0,1.006937
76,0,1.006937
77,0,1.006937
78,0,0.977002
79,2,1.011924
80,0,1.006937
81,0,1.006937
82,0,1.006937
83,0,0.973736
84,0,1.006937
85,0,1.006937
86,0,1.006937
87,0,1.006937
88,2,0.977002
89,0,1.006937
90,0,1.006937
91,0,1.006937
92,1,1.006937
93,1,1.006937
94,0,1.006937
95,0,1.006937
96,0,1.006937
97,0,1.008541
98,0,1.006937
99,0,1.006937
100,0,1.006937
101,0,1.006937
102,1,1.006937
103,0,1.006937
104,0,1.006937
105,0,1.006937
106,0,1.006937
107,1,1.006937
108,0,0.977002
109,0,1.006937
110,2,1.006937
111,0,1.006937
112,0,0.977002
113,2,1.006937
114,2,1.006937
115,0,1.006937
116,0,1.006937
117,0,1.006937
118,0,1.006937
119,0,1.006937
120,0,1.006937
121,0,1.006937
122,0,1.006937
123,0,1.006937
124,0,1.006937
125,0,1.011924
126,0,1.006937
127,1,1.006937
128,0,1.011924
129,1,1.006937
130,0,0.977002
131,0,0.977002
132,0,1.006937
133,0,1.006937
134,0,1.006937
135,0,0.977002
136,0,1.006937
137,0,1.006937
138,2,1.006937
139,0,1.006937
140,0,1.006937
141,0,1.006937
142,0,1.006937
143,2,1.006937
144,0,1.006937
145,1,1.006937
146,0,1.006937
147,0,1.006937
148,0,1.006937
149,0,1.006937
150,0,1.006937
151,0,1.006937
152,0,1.006937
153,0,0.977002
154,2,1.006937
155,0,1.006937
156,0,1.006937
157,2,1.006937
158,0,1.006937
159,0,1.006937
160,0,1.006937
161,0,1.006937
162,0,1.006937
163,0,1.006937
164,0,0.977002
165,0,1.006937
166,0,1.006937
167,0,0.977002
168,0,1.011924
169,0,1.006937
170,1,0.977002
171,0,1.011924
172,1,1.006937
173,1,1.006937
174,0,1.006937
175,0,0.977002
176,0,1.006937
177,0,1.006937
178,0,1.003570
179,0,0.977002
180,0,1.006937
181,0,1.006937
182,0,1.006937
183,0,1.006937
184,0,1.006937
185,0,1.006937
186,0,1.011924
187,0,1.011924
188,0,1.006937
189,1,1.006937
190,0,1.006937
191,0,1.006937
192,0,1.011924
193,1,0.977002
194,0,1.006937
