AlleleCount,NumberOfSites
1,42
2,16
3,10
4,11
5,7
6,8
7,2
8,6
9,3
10,3
11,2
12,3
13,1
14,4
15,2
16,3
17,3
18,1
20,2
21,4
22,2
23,4
25,3
27,1
28,1
29,1
30,1
31,1
32,2
33,2
37,1
38,3
39,1
41,1
42,3
43,1
44,3
45,2
46,2
48,1
49,1
51,1
53,1
54,2
55,1
56,1
59,1
60,1
64,1
66,1
68,1
73,1
74,2
78,2
79,1
80,1
81,1
83,1
86,1
87,1
92,1
93,1
95,1
98,3
102,1
103,1
106,1
111,2
113,1
114,1
115,2
120,1
129,1
133,1
137,1
146,1
147,1
149,1
150,1
153,1
154,1
159,2
160,1
163,1
165,1
170,1
171,1
177,1
179,1
180,2
188,1
190,2
192,1
193,1
196,1
201,1
210,1
225,1
233,1
235,1
236,1
249,1
250,1
256,1
258,1
260,1
261,1
262,1
288,1
289,1
294,1
325,1
328,1
329,1
335,1
340,1
351,1
355,1
362,1
365,1
378,1
396,1
414,1
430,1
513,1
514,1
532,1
539,1
544,1
573,2
575,1
583,1
598,1
613,1
633,1
656,1
667,1
673,1
690,1
709,1
732,1
760,1
763,1
765,1
789,1
799,1
802,1
809,1
811,1
813,1
823,2
874,1
876,1
892,1
893,1
894,1
912,2
951,1
974,1
1013,1
1026,1
1031,1
1036,1
1071,1
1122,1
1136,1
1140,1
1142,1
1169,1
1231,1
1260,1
1302,1
1309,1
1347,1
1356,1
1366,1
1423,1
1441,1
1445,1
1490,1
1622,1
1712,1
1722,1
1733,1
1734,1
1778,1
1784,1
1894,1
1966,1
2025,1
2214,1
2226,1
2276,1
2323,1
2324,1
2334,1
2344,1
2357,1
2428,1
2461,1
2480,1
2553,1
2605,1
2642,1
2696,1
2858,1
2948,1
2975,2
3062,1
3077,1
3120,1
3236,1
3290,1
3304,1
3339,1
3489,1
3530,1
3623,1
3672,1
3679,1
3939,1
3941,1
4019,1
4078,1
4080,1
4083,1
4260,1
4392,1
4422,1
4424,1
4534,1
4581,1
4675,1
4743,1
4772,1
5089,1
5114,1
5418,1
5738,1
5779,1
5907,1
5953,1
5964,1
6126,1
6187,1
6270,1
6836,1
7429,1
7588,1
7678,1
7726,1
8020,1
8208,1
8827,1
9970,1
10419,1
10790,1
11016,1
11409,1
11550,1
11865,1
12495,1
13050,1
13200,1
13818,1
14102,1
14150,1
15387,1
15538,1
15634,1
17638,1
18463,1
19108,1
19450,1
19668,1
19916,1
