Time,DerivedAlleleCopyNumber,NumberOfSites,NumNeutralSites,NumBGSsites,NumPOSsites,NumDIVsites
100,1,55,52,0,0,3
100,2,13,13,0,0,0
100,3,13,12,0,1,0
100,4,10,10,0,0,0
100,5,11,9,2,0,0
100,6,12,12,0,0,0
100,7,5,5,0,0,0
100,8,11,11,0,0,0
100,9,1,1,0,0,0
100,10,4,4,0,0,0
100,11,2,2,0,0,0
100,12,2,2,0,0,0
100,13,4,4,0,0,0
100,14,2,0,1,1,0
100,15,2,1,0,0,1
100,16,2,1,0,0,1
100,17,5,4,0,1,0
100,18,6,5,0,0,1
100,19,3,3,0,0,0
100,20,5,5,0,0,0
100,21,2,2,0,0,0
100,22,2,1,0,0,1
100,24,4,3,0,0,1
100,25,1,1,0,0,0
100,26,1,1,0,0,0
100,27,2,2,0,0,0
100,29,2,2,0,0,0
100,30,2,2,0,0,0
100,31,2,2,0,0,0
100,33,2,2,0,0,0
100,34,1,1,0,0,0
100,35,1,1,0,0,0
100,36,8,7,1,0,0
100,37,1,1,0,0,0
100,38,1,1,0,0,0
100,40,1,1,0,0,0
100,41,1,1,0,0,0
100,42,1,1,0,0,0
100,43,2,2,0,0,0
100,44,2,2,0,0,0
100,46,2,2,0,0,0
100,50,2,2,0,0,0
100,51,2,1,1,0,0
100,53,1,1,0,0,0
100,56,3,3,0,0,0
100,60,1,1,0,0,0
100,61,1,1,0,0,0
100,62,1,0,1,0,0
100,74,1,1,0,0,0
100,80,2,2,0,0,0
100,84,1,1,0,0,0
100,86,2,2,0,0,0
100,98,1,1,0,0,0
100,102,1,0,1,0,0
100,106,2,2,0,0,0
100,112,1,1,0,0,0
100,115,1,1,0,0,0
100,123,1,1,0,0,0
100,126,2,2,0,0,0
100,132,1,1,0,0,0
100,135,1,1,0,0,0
100,140,1,1,0,0,0
100,141,1,1,0,0,0
100,142,1,1,0,0,0
100,146,1,0,0,1,0
100,152,1,1,0,0,0
100,154,1,1,0,0,0
100,159,1,1,0,0,0
100,170,1,1,0,0,0
100,171,1,1,0,0,0
100,174,1,0,0,0,1
100,175,2,2,0,0,0
100,185,1,1,0,0,0
100,202,1,1,0,0,0
100,204,1,1,0,0,0
100,213,1,1,0,0,0
100,214,1,1,0,0,0
100,217,2,2,0,0,0
100,234,1,1,0,0,0
100,240,1,1,0,0,0
100,245,1,1,0,0,0
100,249,1,1,0,0,0
100,250,1,1,0,0,0
100,258,1,1,0,0,0
100,265,1,1,0,0,0
100,269,1,1,0,0,0
100,273,1,1,0,0,0
100,286,1,1,0,0,0
100,296,1,1,0,0,0
100,298,1,1,0,0,0
100,322,1,1,0,0,0
100,324,1,1,0,0,0
100,343,1,1,0,0,0
100,354,1,1,0,0,0
100,375,1,1,0,0,0
100,379,1,1,0,0,0
100,382,1,1,0,0,0
100,383,1,1,0,0,0
100,393,1,1,0,0,0
100,406,1,1,0,0,0
100,418,1,1,0,0,0
100,426,1,1,0,0,0
100,433,1,1,0,0,0
100,436,1,1,0,0,0
100,461,1,1,0,0,0
100,465,1,1,0,0,0
100,471,1,1,0,0,0
100,497,1,1,0,0,0
100,502,1,1,0,0,0
100,505,1,1,0,0,0
100,508,1,1,0,0,0
100,512,1,1,0,0,0
100,522,1,1,0,0,0
100,527,1,1,0,0,0
100,533,2,2,0,0,0
100,540,1,1,0,0,0
100,551,1,1,0,0,0
100,552,1,0,1,0,0
100,557,1,1,0,0,0
100,558,1,1,0,0,0
100,560,1,1,0,0,0
100,567,1,1,0,0,0
100,568,1,1,0,0,0
100,569,1,1,0,0,0
100,581,1,1,0,0,0
100,586,1,1,0,0,0
100,587,1,1,0,0,0
100,598,1,1,0,0,0
100,611,1,0,0,0,1
100,615,1,1,0,0,0
100,616,2,2,0,0,0
100,632,1,1,0,0,0
100,659,1,1,0,0,0
100,662,1,1,0,0,0
100,665,1,1,0,0,0
100,702,1,0,1,0,0
100,752,1,1,0,0,0
100,754,1,0,1,0,0
100,786,1,1,0,0,0
100,793,1,1,0,0,0
100,803,1,0,0,0,1
100,815,1,0,0,0,1
100,832,1,1,0,0,0
100,841,1,1,0,0,0
100,851,1,1,0,0,0
100,867,1,1,0,0,0
100,880,1,1,0,0,0
100,885,1,1,0,0,0
100,970,1,1,0,0,0
100,981,1,1,0,0,0
100,983,1,1,0,0,0
100,997,1,1,0,0,0
100,1034,1,1,0,0,0
100,1044,1,1,0,0,0
100,1064,1,1,0,0,0
100,1102,1,1,0,0,0
100,1105,1,1,0,0,0
100,1135,1,1,0,0,0
100,1162,1,1,0,0,0
100,1191,1,1,0,0,0
100,1213,1,1,0,0,0
100,1216,1,1,0,0,0
100,1245,1,1,0,0,0
100,1259,1,1,0,0,0
100,1374,2,2,0,0,0
100,1390,1,1,0,0,0
100,1404,1,1,0,0,0
100,1413,1,1,0,0,0
100,1432,1,1,0,0,0
100,1438,1,1,0,0,0
100,1475,1,1,0,0,0
100,1559,1,1,0,0,0
100,1601,1,1,0,0,0
100,1670,1,1,0,0,0
100,1750,1,1,0,0,0
100,1791,1,1,0,0,0
100,1822,1,1,0,0,0
100,1832,1,1,0,0,0
100,1852,1,1,0,0,0
100,1945,1,1,0,0,0
100,1990,1,1,0,0,0
100,2029,1,1,0,0,0
100,2117,1,1,0,0,0
100,2177,1,1,0,0,0
100,2255,1,1,0,0,0
100,2419,1,1,0,0,0
100,2543,1,1,0,0,0
100,2551,1,1,0,0,0
100,2597,1,1,0,0,0
100,2600,1,1,0,0,0
100,2693,1,1,0,0,0
100,2736,1,1,0,0,0
100,2812,1,1,0,0,0
100,2997,1,1,0,0,0
100,3070,1,1,0,0,0
100,3134,1,1,0,0,0
100,3144,1,1,0,0,0
100,3162,1,1,0,0,0
100,3164,1,1,0,0,0
100,3193,1,1,0,0,0
100,3206,1,1,0,0,0
100,3238,1,1,0,0,0
100,3295,1,1,0,0,0
100,3320,1,1,0,0,0
100,3432,1,1,0,0,0
100,3557,1,1,0,0,0
100,3630,1,1,0,0,0
100,3663,1,1,0,0,0
100,3677,1,1,0,0,0
100,3718,1,1,0,0,0
100,4052,1,1,0,0,0
100,4151,1,1,0,0,0
100,4299,1,1,0,0,0
100,4329,1,0,0,0,1
100,4371,1,1,0,0,0
100,4411,1,1,0,0,0
100,4451,1,1,0,0,0
100,4506,1,1,0,0,0
100,4508,1,1,0,0,0
100,4522,1,1,0,0,0
100,4594,1,1,0,0,0
100,5043,1,0,0,1,0
100,5163,1,1,0,0,0
100,5513,1,1,0,0,0
100,5557,1,1,0,0,0
100,5749,1,0,0,1,0
100,5837,1,1,0,0,0
100,5958,1,1,0,0,0
100,5976,1,0,0,0,1
100,6025,1,1,0,0,0
100,6275,1,1,0,0,0
100,6613,1,1,0,0,0
100,6790,1,1,0,0,0
100,7069,1,1,0,0,0
100,7083,1,1,0,0,0
100,7301,1,1,0,0,0
100,7431,1,1,0,0,0
100,7549,1,1,0,0,0
100,8338,1,1,0,0,0
100,8493,1,1,0,0,0
100,8499,1,1,0,0,0
100,8591,1,1,0,0,0
100,8641,1,1,0,0,0
100,8808,1,1,0,0,0
100,9337,1,1,0,0,0
100,11403,1,1,0,0,0
100,11536,1,1,0,0,0
100,11631,1,1,0,0,0
100,11776,1,1,0,0,0
100,11813,1,1,0,0,0
100,11911,1,1,0,0,0
100,12217,1,1,0,0,0
100,12242,1,1,0,0,0
100,12971,1,1,0,0,0
100,14181,1,1,0,0,0
100,14608,1,1,0,0,0
100,14666,1,1,0,0,0
100,15494,1,0,0,0,1
100,15633,1,1,0,0,0
100,15944,1,1,0,0,0
100,18076,1,1,0,0,0
100,18794,1,1,0,0,0
100,20222,1,1,0,0,0
100,20359,1,1,0,0,0
100,20432,1,1,0,0,0
100,20592,1,1,0,0,0
200,1,46,45,1,0,0
200,2,19,17,0,1,1
200,3,14,14,0,0,0
200,4,10,10,0,0,0
200,5,8,7,1,0,0
200,6,6,5,0,0,1
200,7,6,6,0,0,0
200,8,7,7,0,0,0
200,9,7,7,0,0,0
200,10,3,2,0,0,1
200,11,5,5,0,0,0
200,12,3,3,0,0,0
200,13,3,3,0,0,0
200,14,5,5,0,0,0
200,15,2,2,0,0,0
200,16,4,4,0,0,0
200,17,1,1,0,0,0
200,18,5,3,2,0,0
200,19,2,2,0,0,0
200,22,1,1,0,0,0
200,23,2,2,0,0,0
200,24,1,1,0,0,0
200,25,2,1,0,0,1
200,26,2,2,0,0,0
200,27,2,2,0,0,0
200,28,3,3,0,0,0
200,29,4,4,0,0,0
200,30,1,1,0,0,0
200,31,3,3,0,0,0
200,32,1,1,0,0,0
200,33,2,1,1,0,0
200,36,1,1,0,0,0
200,37,1,1,0,0,0
200,38,1,1,0,0,0
200,39,4,4,0,0,0
200,40,1,1,0,0,0
200,41,2,2,0,0,0
200,42,2,2,0,0,0
200,43,1,1,0,0,0
200,45,1,1,0,0,0
200,48,1,1,0,0,0
200,51,2,1,0,1,0
200,52,2,2,0,0,0
200,55,2,2,0,0,0
200,56,2,2,0,0,0
200,59,2,2,0,0,0
200,68,4,3,0,0,1
200,70,1,1,0,0,0
200,73,1,1,0,0,0
200,75,1,1,0,0,0
200,76,2,2,0,0,0
200,77,1,1,0,0,0
200,79,1,1,0,0,0
200,81,1,1,0,0,0
200,82,1,0,1,0,0
200,83,2,2,0,0,0
200,84,2,2,0,0,0
200,85,1,1,0,0,0
200,86,1,1,0,0,0
200,89,2,2,0,0,0
200,91,1,1,0,0,0
200,96,1,1,0,0,0
200,98,1,1,0,0,0
200,100,1,1,0,0,0
200,103,2,2,0,0,0
200,108,1,1,0,0,0
200,110,1,1,0,0,0
200,114,1,1,0,0,0
200,115,1,1,0,0,0
200,117,1,1,0,0,0
200,122,1,1,0,0,0
200,131,1,0,0,0,1
200,151,1,1,0,0,0
200,154,2,2,0,0,0
200,158,1,1,0,0,0
200,162,1,1,0,0,0
200,176,1,1,0,0,0
200,178,1,1,0,0,0
200,182,2,2,0,0,0
200,187,1,1,0,0,0
200,193,1,1,0,0,0
200,214,1,1,0,0,0
200,225,1,1,0,0,0
200,236,1,1,0,0,0
200,241,1,1,0,0,0
200,245,1,1,0,0,0
200,246,1,1,0,0,0
200,254,1,1,0,0,0
200,259,1,1,0,0,0
200,275,2,2,0,0,0
200,293,1,1,0,0,0
200,298,1,1,0,0,0
200,305,1,1,0,0,0
200,316,1,1,0,0,0
200,325,1,0,0,1,0
200,338,1,1,0,0,0
200,343,1,1,0,0,0
200,347,1,1,0,0,0
200,373,1,1,0,0,0
200,378,1,1,0,0,0
200,381,1,1,0,0,0
200,387,1,1,0,0,0
200,392,1,1,0,0,0
200,400,1,1,0,0,0
200,408,1,0,1,0,0
200,421,1,1,0,0,0
200,443,1,1,0,0,0
200,453,1,1,0,0,0
200,473,1,1,0,0,0
200,475,2,2,0,0,0
200,483,1,1,0,0,0
200,486,1,0,1,0,0
200,488,1,1,0,0,0
200,494,1,1,0,0,0
200,496,1,1,0,0,0
200,497,1,1,0,0,0
200,538,1,1,0,0,0
200,541,1,1,0,0,0
200,571,1,1,0,0,0
200,579,2,1,0,0,1
200,585,1,1,0,0,0
200,586,1,0,0,0,1
200,594,2,2,0,0,0
200,612,1,1,0,0,0
200,614,2,2,0,0,0
200,618,1,1,0,0,0
200,630,1,1,0,0,0
200,631,1,1,0,0,0
200,642,1,1,0,0,0
200,660,1,1,0,0,0
200,661,1,1,0,0,0
200,664,1,1,0,0,0
200,681,1,1,0,0,0
200,685,1,1,0,0,0
200,691,1,1,0,0,0
200,715,1,1,0,0,0
200,722,1,1,0,0,0
200,736,2,2,0,0,0
200,755,1,1,0,0,0
200,757,1,1,0,0,0
200,778,1,1,0,0,0
200,797,1,0,0,0,1
200,804,1,1,0,0,0
200,828,1,1,0,0,0
200,838,1,1,0,0,0
200,840,1,1,0,0,0
200,851,1,1,0,0,0
200,895,1,1,0,0,0
200,911,1,1,0,0,0
200,921,1,1,0,0,0
200,925,1,1,0,0,0
200,933,1,1,0,0,0
200,948,1,1,0,0,0
200,959,1,1,0,0,0
200,1002,1,1,0,0,0
200,1003,1,1,0,0,0
200,1009,1,1,0,0,0
200,1017,1,1,0,0,0
200,1029,1,1,0,0,0
200,1059,1,1,0,0,0
200,1087,1,1,0,0,0
200,1096,1,1,0,0,0
200,1248,1,1,0,0,0
200,1263,1,1,0,0,0
200,1301,1,1,0,0,0
200,1394,1,1,0,0,0
200,1479,1,1,0,0,0
200,1491,1,1,0,0,0
200,1508,1,1,0,0,0
200,1520,1,1,0,0,0
200,1527,1,1,0,0,0
200,1536,1,1,0,0,0
200,1564,1,1,0,0,0
200,1670,1,1,0,0,0
200,1757,1,1,0,0,0
200,1767,1,1,0,0,0
200,1796,1,1,0,0,0
200,1837,1,1,0,0,0
200,1930,1,1,0,0,0
200,2029,1,1,0,0,0
200,2030,1,1,0,0,0
200,2035,1,1,0,0,0
200,2233,1,1,0,0,0
200,2257,1,1,0,0,0
200,2390,1,1,0,0,0
200,2392,1,1,0,0,0
200,2395,1,1,0,0,0
200,2460,1,1,0,0,0
200,2543,1,1,0,0,0
200,2559,1,1,0,0,0
200,2598,1,1,0,0,0
200,2608,1,1,0,0,0
200,2627,1,1,0,0,0
200,2688,1,1,0,0,0
200,2773,1,1,0,0,0
200,2938,1,1,0,0,0
200,2975,1,1,0,0,0
200,2992,1,1,0,0,0
200,3222,1,1,0,0,0
200,3239,1,1,0,0,0
200,3420,1,1,0,0,0
200,3496,1,1,0,0,0
200,3548,1,1,0,0,0
200,3631,1,1,0,0,0
200,3648,1,1,0,0,0
200,3689,1,1,0,0,0
200,3691,1,1,0,0,0
200,3694,1,1,0,0,0
200,3777,1,1,0,0,0
200,3865,1,1,0,0,0
200,3915,1,1,0,0,0
200,4018,1,1,0,0,0
200,4087,1,1,0,0,0
200,4105,1,1,0,0,0
200,4143,1,1,0,0,0
200,4175,1,1,0,0,0
200,4359,1,1,0,0,0
200,4634,1,1,0,0,0
200,4812,1,1,0,0,0
200,4985,1,1,0,0,0
200,5076,1,1,0,0,0
200,5083,1,0,0,0,1
200,5168,1,1,0,0,0
200,5213,1,1,0,0,0
200,5341,1,1,0,0,0
200,5713,1,1,0,0,0
200,5867,1,1,0,0,0
200,5971,1,1,0,0,0
200,6214,1,0,0,1,0
200,6358,1,1,0,0,0
200,7136,1,1,0,0,0
200,7247,1,1,0,0,0
200,7278,1,0,0,0,1
200,7402,1,1,0,0,0
200,7411,1,1,0,0,0
200,7627,1,1,0,0,0
200,7773,1,1,0,0,0
200,7858,1,1,0,0,0
200,7871,1,1,0,0,0
200,8113,1,1,0,0,0
200,8737,1,1,0,0,0
200,8790,1,1,0,0,0
200,8801,1,1,0,0,0
200,9001,1,1,0,0,0
200,9228,1,1,0,0,0
200,9439,1,0,0,1,0
200,11556,1,1,0,0,0
200,12004,1,1,0,0,0
200,12314,1,1,0,0,0
200,12393,1,1,0,0,0
200,12450,1,1,0,0,0
200,12507,1,1,0,0,0
200,12517,1,1,0,0,0
200,12579,1,1,0,0,0
200,13202,1,1,0,0,0
200,14315,1,1,0,0,0
200,14432,1,1,0,0,0
200,14749,1,1,0,0,0
200,14926,1,0,0,0,1
200,15543,1,1,0,0,0
200,15797,1,1,0,0,0
200,16744,1,1,0,0,0
200,18524,1,1,0,0,0
200,20247,1,1,0,0,0
200,20303,1,1,0,0,0
200,20326,1,1,0,0,0
200,20423,1,1,0,0,0
300,1,38,34,3,1,0
300,2,14,14,0,0,0
300,3,7,6,1,0,0
300,4,16,15,1,0,0
300,5,11,11,0,0,0
300,6,8,8,0,0,0
300,7,10,10,0,0,0
300,8,6,6,0,0,0
300,9,4,4,0,0,0
300,10,1,1,0,0,0
300,11,4,4,0,0,0
300,12,4,4,0,0,0
300,13,3,3,0,0,0
300,14,5,5,0,0,0
300,15,7,7,0,0,0
300,16,2,2,0,0,0
300,17,3,3,0,0,0
300,19,8,8,0,0,0
300,20,1,1,0,0,0
300,21,1,1,0,0,0
300,22,4,4,0,0,0
300,23,4,4,0,0,0
300,24,3,3,0,0,0
300,26,6,6,0,0,0
300,27,2,2,0,0,0
300,28,3,3,0,0,0
300,29,1,1,0,0,0
300,30,2,2,0,0,0
300,32,2,2,0,0,0
300,33,2,2,0,0,0
300,34,3,3,0,0,0
300,35,1,1,0,0,0
300,36,1,1,0,0,0
300,37,1,1,0,0,0
300,38,1,1,0,0,0
300,39,3,3,0,0,0
300,40,1,1,0,0,0
300,42,1,1,0,0,0
300,43,3,3,0,0,0
300,44,2,2,0,0,0
300,46,1,1,0,0,0
300,47,1,1,0,0,0
300,48,1,1,0,0,0
300,49,1,1,0,0,0
300,51,1,1,0,0,0
300,52,1,1,0,0,0
300,55,1,1,0,0,0
300,56,1,1,0,0,0
300,58,2,2,0,0,0
300,59,1,1,0,0,0
300,66,1,1,0,0,0
300,68,2,2,0,0,0
300,70,1,1,0,0,0
300,71,1,1,0,0,0
300,76,1,1,0,0,0
300,79,1,1,0,0,0
300,81,1,1,0,0,0
300,82,1,1,0,0,0
300,84,1,1,0,0,0
300,88,1,1,0,0,0
300,90,1,0,0,0,1
300,93,1,1,0,0,0
300,94,2,2,0,0,0
300,97,1,1,0,0,0
300,101,1,1,0,0,0
300,104,1,1,0,0,0
300,105,1,1,0,0,0
300,106,1,1,0,0,0
300,108,2,1,1,0,0
300,110,1,1,0,0,0
300,117,1,1,0,0,0
300,121,2,2,0,0,0
300,132,1,1,0,0,0
300,133,1,0,1,0,0
300,142,1,1,0,0,0
300,144,3,3,0,0,0
300,145,1,1,0,0,0
300,148,1,1,0,0,0
300,159,1,1,0,0,0
300,164,1,1,0,0,0
300,174,2,1,1,0,0
300,203,1,1,0,0,0
300,211,1,1,0,0,0
300,212,1,1,0,0,0
300,214,1,1,0,0,0
300,224,1,1,0,0,0
300,233,1,1,0,0,0
300,246,1,1,0,0,0
300,247,1,1,0,0,0
300,251,1,1,0,0,0
300,252,1,1,0,0,0
300,256,1,1,0,0,0
300,257,1,1,0,0,0
300,258,2,1,1,0,0
300,278,1,1,0,0,0
300,290,1,1,0,0,0
300,298,1,1,0,0,0
300,307,1,1,0,0,0
300,309,1,1,0,0,0
300,325,1,1,0,0,0
300,342,1,1,0,0,0
300,348,1,1,0,0,0
300,349,1,1,0,0,0
300,366,1,1,0,0,0
300,367,1,1,0,0,0
300,371,1,1,0,0,0
300,373,1,1,0,0,0
300,389,1,0,0,0,1
300,391,1,1,0,0,0
300,394,1,1,0,0,0
300,396,1,1,0,0,0
300,398,2,2,0,0,0
300,400,1,1,0,0,0
300,410,1,1,0,0,0
300,423,1,1,0,0,0
300,446,1,1,0,0,0
300,477,1,0,0,0,1
300,483,1,1,0,0,0
300,504,1,1,0,0,0
300,511,1,1,0,0,0
300,516,1,1,0,0,0
300,525,1,1,0,0,0
300,528,1,1,0,0,0
300,529,1,1,0,0,0
300,530,1,1,0,0,0
300,548,1,1,0,0,0
300,551,1,1,0,0,0
300,565,1,1,0,0,0
300,605,1,1,0,0,0
300,622,1,1,0,0,0
300,628,1,1,0,0,0
300,635,1,1,0,0,0
300,637,1,1,0,0,0
300,640,1,1,0,0,0
300,683,1,1,0,0,0
300,697,1,1,0,0,0
300,715,1,1,0,0,0
300,720,1,0,0,1,0
300,744,1,1,0,0,0
300,762,1,1,0,0,0
300,780,1,0,0,0,1
300,792,1,1,0,0,0
300,803,1,1,0,0,0
300,833,1,1,0,0,0
300,844,1,1,0,0,0
300,880,1,1,0,0,0
300,915,1,1,0,0,0
300,917,1,1,0,0,0
300,918,1,1,0,0,0
300,929,1,1,0,0,0
300,947,1,1,0,0,0
300,962,1,1,0,0,0
300,963,1,1,0,0,0
300,988,2,2,0,0,0
300,989,1,1,0,0,0
300,1009,1,1,0,0,0
300,1026,1,1,0,0,0
300,1040,1,1,0,0,0
300,1057,1,1,0,0,0
300,1065,1,1,0,0,0
300,1068,1,1,0,0,0
300,1144,1,1,0,0,0
300,1150,1,1,0,0,0
300,1161,1,1,0,0,0
300,1169,1,1,0,0,0
300,1180,1,1,0,0,0
300,1246,1,1,0,0,0
300,1313,1,1,0,0,0
300,1332,1,1,0,0,0
300,1343,1,1,0,0,0
300,1382,2,2,0,0,0
300,1383,1,1,0,0,0
300,1439,1,1,0,0,0
300,1487,1,1,0,0,0
300,1540,1,1,0,0,0
300,1562,1,1,0,0,0
300,1581,1,1,0,0,0
300,1619,1,1,0,0,0
300,1665,1,1,0,0,0
300,1680,1,1,0,0,0
300,1730,1,1,0,0,0
300,1747,1,1,0,0,0
300,1907,1,1,0,0,0
300,1909,1,1,0,0,0
300,1925,1,1,0,0,0
300,2114,1,1,0,0,0
300,2164,1,1,0,0,0
300,2202,1,1,0,0,0
300,2244,1,1,0,0,0
300,2277,1,1,0,0,0
300,2279,1,1,0,0,0
300,2329,1,1,0,0,0
300,2380,1,1,0,0,0
300,2420,1,1,0,0,0
300,2467,1,1,0,0,0
300,2564,1,1,0,0,0
300,2575,1,1,0,0,0
300,2737,1,1,0,0,0
300,2854,1,1,0,0,0
300,2858,1,1,0,0,0
300,3058,1,1,0,0,0
300,3168,1,1,0,0,0
300,3190,1,1,0,0,0
300,3200,1,1,0,0,0
300,3359,1,1,0,0,0
300,3363,1,1,0,0,0
300,3651,1,1,0,0,0
300,3655,1,1,0,0,0
300,3673,2,2,0,0,0
300,3755,1,1,0,0,0
300,3902,1,1,0,0,0
300,3921,1,1,0,0,0
300,4032,1,1,0,0,0
300,4055,1,1,0,0,0
300,4082,1,1,0,0,0
300,4134,1,1,0,0,0
300,4296,1,1,0,0,0
300,4309,1,1,0,0,0
300,4371,1,1,0,0,0
300,4421,1,1,0,0,0
300,4593,1,1,0,0,0
300,4612,1,1,0,0,0
300,4682,1,1,0,0,0
300,4734,1,1,0,0,0
300,4897,1,1,0,0,0
300,4938,1,1,0,0,0
300,5047,1,1,0,0,0
300,5247,1,1,0,0,0
300,5471,1,0,0,0,1
300,5705,1,1,0,0,0
300,6137,1,0,0,1,0
300,6378,1,1,0,0,0
300,6428,2,2,0,0,0
300,7064,1,1,0,0,0
300,7156,1,1,0,0,0
300,7317,1,1,0,0,0
300,7590,1,1,0,0,0
300,7804,1,0,0,0,1
300,7821,1,1,0,0,0
300,8008,1,1,0,0,0
300,8121,1,1,0,0,0
300,8264,1,1,0,0,0
300,8771,1,1,0,0,0
300,8894,1,1,0,0,0
300,9906,1,1,0,0,0
300,11378,1,1,0,0,0
300,11408,1,1,0,0,0
300,11655,1,1,0,0,0
300,11964,1,1,0,0,0
300,12108,1,1,0,0,0
300,12140,1,1,0,0,0
300,12336,1,1,0,0,0
300,12460,1,1,0,0,0
300,12888,1,1,0,0,0
300,12967,1,0,0,1,0
300,13576,1,1,0,0,0
300,14397,1,0,0,0,1
300,14447,1,1,0,0,0
300,14592,1,1,0,0,0
300,15020,1,1,0,0,0
300,15094,1,1,0,0,0
300,16791,1,1,0,0,0
300,18146,1,1,0,0,0
300,19276,1,1,0,0,0
300,19503,1,1,0,0,0
300,19612,1,1,0,0,0
400,1,41,37,1,0,3
400,2,20,20,0,0,0
400,3,13,11,1,0,1
400,4,10,9,1,0,0
400,5,2,2,0,0,0
400,6,6,6,0,0,0
400,7,6,6,0,0,0
400,8,1,1,0,0,0
400,9,2,2,0,0,0
400,10,6,6,0,0,0
400,11,2,2,0,0,0
400,12,3,3,0,0,0
400,13,6,6,0,0,0
400,14,4,4,0,0,0
400,15,3,3,0,0,0
400,16,2,2,0,0,0
400,17,1,1,0,0,0
400,18,2,2,0,0,0
400,19,2,1,0,0,1
400,21,1,1,0,0,0
400,22,1,1,0,0,0
400,24,1,1,0,0,0
400,25,1,1,0,0,0
400,26,2,2,0,0,0
400,27,1,1,0,0,0
400,28,1,1,0,0,0
400,29,2,2,0,0,0
400,30,2,2,0,0,0
400,31,1,1,0,0,0
400,32,1,1,0,0,0
400,34,4,4,0,0,0
400,36,1,1,0,0,0
400,40,5,4,1,0,0
400,41,1,1,0,0,0
400,42,1,1,0,0,0
400,43,1,1,0,0,0
400,44,1,1,0,0,0
400,45,1,1,0,0,0
400,46,2,2,0,0,0
400,47,1,1,0,0,0
400,51,1,1,0,0,0
400,53,1,1,0,0,0
400,54,1,1,0,0,0
400,55,2,2,0,0,0
400,57,1,1,0,0,0
400,58,1,1,0,0,0
400,59,3,3,0,0,0
400,62,1,1,0,0,0
400,67,1,1,0,0,0
400,69,1,1,0,0,0
400,75,1,1,0,0,0
400,76,1,1,0,0,0
400,77,2,2,0,0,0
400,78,2,2,0,0,0
400,80,1,1,0,0,0
400,85,1,1,0,0,0
400,86,2,2,0,0,0
400,88,1,1,0,0,0
400,91,1,1,0,0,0
400,98,1,1,0,0,0
400,103,1,1,0,0,0
400,108,1,1,0,0,0
400,110,1,1,0,0,0
400,111,1,1,0,0,0
400,115,1,1,0,0,0
400,116,2,2,0,0,0
400,119,2,2,0,0,0
400,124,1,1,0,0,0
400,132,1,1,0,0,0
400,137,1,1,0,0,0
400,141,1,1,0,0,0
400,142,1,1,0,0,0
400,147,2,2,0,0,0
400,158,1,1,0,0,0
400,166,1,1,0,0,0
400,184,1,1,0,0,0
400,191,2,2,0,0,0
400,200,1,1,0,0,0
400,210,1,1,0,0,0
400,213,1,1,0,0,0
400,218,1,1,0,0,0
400,222,1,1,0,0,0
400,227,2,1,1,0,0
400,234,1,1,0,0,0
400,240,1,1,0,0,0
400,251,1,1,0,0,0
400,254,1,1,0,0,0
400,263,1,1,0,0,0
400,274,1,1,0,0,0
400,277,1,1,0,0,0
400,285,1,1,0,0,0
400,289,1,1,0,0,0
400,294,1,1,0,0,0
